day,plant_id,organ_class,organ_index,rank,order,parent_rank,parent_organ_class,age_dd,dry_biomass_mg,area_m2,length,is_fruit,is_root,internode_width_m,leaf_length_petiole,leaf_diameter_petiole,leaf_angle_petiole,leaf_ccw_orientation,leaf_curvature,leaf_blades_nr,leaf_area_blades_total,leaf_rachis_length,leaf_segments_length,leaf_area_m2blades,leaf_inclination_segments,fruit_nr,fruit_radii,fruit_age_dd,fruit_ripening_dd,fruit_truss_angle
71,1,Root,0,0,0,-1,none,1091.217,76.40000018775463,0.0,0.0,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,Internode,0,4,1,0,Internode,447.6011,51.541347922726345,7.035395557402457E-4,0.029796429,false,false,0.007515786407676201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,Internode,1,4,1,0,Internode,524.71875,60.486079456843356,7.41000375287525E-4,0.030831248,false,false,0.00765028222094162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,Internode,2,4,1,0,Internode,524.71875,60.486079456843356,7.41000375287525E-4,0.030831248,false,false,0.00765028222094162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,Internode,3,4,1,0,Internode,524.71875,60.486079456843356,7.41000375287525E-4,0.030831248,false,false,0.00765028222094162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,Internode,0,9,0,8,Internode,524.71875,151.21519864210836,9.972864660314164E-4,0.03748752,false,false,0.008468048207158949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,Internode,0,3,1,0,Internode,555.5468,63.51925177737343,7.528476605688712E-4,0.031154769,false,false,0.007691883598189515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,Internode,1,3,1,0,Internode,632.92883,70.6680375118781,7.793311522852732E-4,0.031871744,false,false,0.007783346097197244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,Internode,2,3,1,0,Internode,632.92883,70.6680375118781,7.793311522852732E-4,0.031871744,false,false,0.007783346097197244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,Internode,3,3,1,0,Internode,632.92883,70.6680375118781,7.793311522852732E-4,0.031871744,false,false,0.007783346097197244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,Internode,0,2,1,0,Internode,663.9266,73.16050486654497,7.881376046128343E-4,0.032108303,false,false,0.00781330579742714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,Internode,0,8,0,7,Internode,710.24005,190.76740361606358,0.0010753053236725533,0.039392572,false,false,0.008688955778057658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,Internode,1,2,1,0,Internode,741.16754,77.97295059108286,8.045833343347405E-4,0.032547664,false,false,0.007868670095210764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,Internode,2,2,1,0,Internode,741.16754,77.97295059108286,8.045833343347405E-4,0.032547664,false,false,0.007868670095210764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,Internode,3,2,1,0,Internode,741.16754,77.97295059108286,8.045833343347405E-4,0.032547664,false,false,0.007868670095210764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,Internode,0,1,1,0,Internode,772.1616,79.2839987638748,8.089441854131734E-4,0.03266365,false,false,0.007883225701868264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,Internode,0,7,0,6,Internode,803.2906,200.53554420910942,0.001092854169906349,0.03981448,false,false,0.008737180279750898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,Internode,1,1,1,0,Internode,850.0993,79.20250051248713,8.086744913241842E-4,0.032656483,false,false,0.007882327148245084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,Internode,2,1,1,0,Internode,850.0993,79.20250051248713,8.086744913241842E-4,0.032656483,false,false,0.007882327148245084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,Internode,3,1,1,0,Internode,850.0993,79.20250051248713,8.086744913241842E-4,0.032656483,false,false,0.007882327148245084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,Internode,0,6,0,5,Internode,880.71674,192.03734691685457,0.001077620715335596,0.039448373,false,false,0.008695347893727109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,Internode,0,5,0,4,Internode,942.3616,178.29572415647166,4.6855335821259785E-4,0.017294025,false,false,0.008624086394256832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,Internode,0,4,0,3,Internode,1003.92346,172.6705691558306,4.6336317608740394E-4,0.017163334,false,false,0.008593497992949067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,Internode,0,3,0,2,Internode,1049.8043,170.0400426829167,4.6089817279183857E-4,0.017101102,false,false,0.0085788885739725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,Internode,0,0,0,0,Root,1481.2172,12.791720208280038,1.8758300023572538E-4,0.009271495,false,false,0.006440118143858373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,Internode,0,1,0,0,Internode,1391.2172,17.903068973505842,2.1082487516818423E-4,0.010039136,false,false,0.006684603462364773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,Internode,0,2,0,1,Internode,1091.217,146.98204071697432,4.381425782665398E-4,0.016521482,false,false,0.008441441024060114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,Leaf,0,4,1,4,Internode,447.6011,69.77925770969937,0.001710290003896621,0.0,false,false,0,0.024440378,0.0042663943,70.0,0.0,90.0,3,0.0012298512,0.055829376,0.034012634,4.919405E-4_4.919405E-4_2.4597024E-4,90.0_90.0,0,0,0,0,0
71,1,Leaf,1,4,1,4,Internode,524.71875,80.1226638018955,0.0019182626784737442,0.0,false,false,0,0.025039371,0.0043502003,70.0,0.0,90.0,3,0.0014121525,0.057784855,0.03543342,5.64861E-4_5.64861E-4_2.824305E-4,90.0_90.0,0,0,0,0,0
71,1,Leaf,2,4,1,4,Internode,524.71875,80.1226638018955,0.0019182626784737442,0.0,false,false,0,0.025039371,0.0043502003,70.0,0.0,90.0,3,0.0014121525,0.057784855,0.03543342,5.64861E-4_5.64861E-4_2.824305E-4,90.0_90.0,0,0,0,0,0
71,1,Leaf,3,4,1,4,Internode,524.71875,80.1226638018955,0.0019182626784737442,0.0,false,false,0,0.025039371,0.0043502003,70.0,0.0,90.0,3,0.0014121525,0.057784855,0.03543342,5.64861E-4_5.64861E-4_2.824305E-4,90.0_90.0,0,0,0,0,0
71,1,Leaf,0,3,1,3,Internode,555.5468,84.71079756724852,0.002009863665701695,0.0,false,false,0,0.025284812,0.004384426,70.0,0.0,90.0,3,0.0014930178,0.05859296,0.036022432,5.972071E-4_5.972071E-4_2.9860355E-4,90.0_90.0,0,0,0,0,0
71,1,Leaf,1,3,1,3,Internode,632.92883,96.1605355627787,0.002236985982217664,0.0,false,false,0,0.025852615,0.004463355,70.0,0.0,90.0,3,0.001694818,0.060477596,0.037400216,6.779272E-4_6.779272E-4_3.389636E-4,90.0_90.0,0,0,0,0,0
71,1,Leaf,2,3,1,3,Internode,632.92883,96.1605355627787,0.002236985982217664,0.0,false,false,0,0.025852615,0.004463355,70.0,0.0,90.0,3,0.001694818,0.060477596,0.037400216,6.779272E-4_6.779272E-4_3.389636E-4,90.0_90.0,0,0,0,0,0
71,1,Leaf,3,3,1,3,Internode,632.92883,96.1605355627787,0.002236985982217664,0.0,false,false,0,0.025852615,0.004463355,70.0,0.0,90.0,3,0.001694818,0.060477596,0.037400216,6.779272E-4_6.779272E-4_3.389636E-4,90.0_90.0,0,0,0,0,0
71,1,Leaf,0,2,1,2,Internode,663.9266,100.21600230644569,0.0023169861336202534,0.0,false,false,0,0.02604037,0.004489379,70.0,0.0,90.0,3,0.0017662952,0.061105415,0.03786044,7.0651807E-4_7.0651807E-4_3.5325903E-4,90.0_90.0,0,0,0,0,0
71,1,Leaf,0,8,0,8,Internode,710.24005,518.62557078918,0.010496025365991415,0.0,false,false,0,0.03473016,0.0056579653,70.0,0.0,90.0,4,0.009140713,0.14417732,0.050168265_0.050168265,0.0026115018_0.0026115018_0.0026115018_0.0013062081,90.0_90.0_90.0,0,0,0,0,0
71,1,Leaf,1,2,1,2,Internode,741.16754,107.74550763935872,0.002464973048485488,0.0,false,false,0,0.026372936,0.0045353845,70.0,0.0,90.0,3,0.0018990018,0.062223107,0.03868126,7.596007E-4_7.596007E-4_3.7980036E-4,90.0_90.0,0,0,0,0,0
71,1,Leaf,2,2,1,2,Internode,741.16754,107.74550763935872,0.002464973048485488,0.0,false,false,0,0.026372936,0.0045353845,70.0,0.0,90.0,3,0.0018990018,0.062223107,0.03868126,7.596007E-4_7.596007E-4_3.7980036E-4,90.0_90.0,0,0,0,0,0
71,1,Leaf,3,2,1,2,Internode,741.16754,107.74550763935872,0.002464973048485488,0.0,false,false,0,0.026372936,0.0045353845,70.0,0.0,90.0,3,0.0018990018,0.062223107,0.03868126,7.596007E-4_7.596007E-4_3.7980036E-4,90.0_90.0,0,0,0,0,0
71,1,Leaf,0,1,1,1,Internode,772.1616,109.45571475699803,0.0024984940250826135,0.0,false,false,0,0.02644579,0.004545448,70.0,0.0,90.0,3,0.0019291439,0.062468912,0.038862035,7.7165756E-4_7.7165756E-4_3.8582878E-4,90.0_90.0,0,0,0,0,0
71,1,Leaf,0,7,0,7,Internode,803.2906,544.7801208552022,0.010983391594986866,0.0,false,false,0,0.03503078,0.0056972783,70.0,0.0,90.0,4,0.009601685,0.14602907,0.050904397_0.050904397,0.0027432013_0.0027432013_0.0027432013_0.0013720809,90.0_90.0_90.0,0,0,0,0,0
71,1,Leaf,1,1,1,1,Internode,850.0993,104.4804871261369,0.0024008844489653474,0.0,false,false,0,0.026231157,0.0045157857,70.0,0.0,90.0,3,0.0018414562,0.06174574,0.038330454,7.3658244E-4_7.3658244E-4_3.6829122E-4,90.0_90.0,0,0,0,0,0
71,1,Leaf,2,1,1,1,Internode,850.0993,104.4804871261369,0.0024008844489653474,0.0,false,false,0,0.026231157,0.0045157857,70.0,0.0,90.0,3,0.0018414562,0.06174574,0.038330454,7.3658244E-4_7.3658244E-4_3.6829122E-4,90.0_90.0,0,0,0,0,0
71,1,Leaf,3,1,1,1,Internode,850.0993,104.4804871261369,0.0024008844489653474,0.0,false,false,0,0.026231157,0.0045157857,70.0,0.0,90.0,3,0.0018414562,0.06174574,0.038330454,7.3658244E-4_7.3658244E-4_3.6829122E-4,90.0_90.0,0,0,0,0,0
71,1,Leaf,0,6,0,6,Internode,880.71674,494.29003066763255,0.010041830105583282,0.0,false,false,0,0.034439,0.0056198253,70.0,0.0,90.0,4,0.008711803,0.1423922,0.049459472_0.049459472,0.002488962_0.002488962_0.002488962_0.0012449167,90.0_90.0_90.0,0,0,0,0,0
71,1,Leaf,0,5,0,5,Internode,942.3616,473.8592399453357,0.009659929357264618,0.0,false,false,0,0.034185283,0.0055865385,70.0,0.0,90.0,4,0.0083517125,0.14084336,0.048845187_0.048845187,0.0023860843_0.0023860843_0.0023860843_0.0011934597,90.0_90.0_90.0,0,0,0,0,0
71,1,Leaf,0,4,0,4,Internode,1003.92346,459.84638423806695,0.009397667498038862,0.0,false,false,0,0.034005996,0.005562987,70.0,0.0,90.0,4,0.008104738,0.13975267,0.048413005_0.048413005,0.0023155236_0.0023155236_0.0023155236_0.001158167,90.0_90.0_90.0,0,0,0,0,0
71,1,Leaf,0,3,0,3,Internode,1049.8043,449.60530668328596,0.008898985233121916,0.0,false,false,0,0.033872094,0.005545382,70.0,0.0,90.0,3,0.00792424,0.08928219,0.05904621,0.0031696958_0.0031696958_0.0015848479,90.0_90.0,0,0,0,0,0
71,1,Leaf,0,0,0,0,Internode,1391.2172,6.029999828338624,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,180.0,90.0,1,1.3461884E-4,0.0,0.0,1.3461884E-4,0,0,0,0,0,0
71,1,Leaf,1,0,0,0,Internode,1391.2172,6.029999828338624,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,0.0,90.0,1,1.3461884E-4,0.0,0.0,1.3461884E-4,0,0,0,0,0,0
