WAVELENGTHS,AMPLITUDES_RED_BLUE,LEAF_TOP_SPD,LEAF_TOP_SPT,LEAF_BOTTOM_SPD,LEAF_BOTTOM_SPT,LEAF_BOTTOM_SPD,INTERNODE_SPT,FRUIT_RIPEN_SPD,FRUIT_RIPEN_SPT,FRUIT_UNRIPEN_SPD,FRUIT_UNRIPEN_SPT,TILE_SENSOR_TOP_SPD,TILE_SENSOR_TOP_SPT,TILE_SENSOR_BOTTOM_SPD,TILE_SENSOR_BOTTOM_SPT,CUBE_SPD,CUBE_SPT,CEILING SPD,CEILING SPT,FLOOR_SPD,FLOOR_SPT,WALL_SPD,WALL_SPT,,,CUBE_SPD,CUBE_SPT,CEILING SPD,CEILING SPT,FLOOR_SPD,FLOOR_SPT,WALL_SPD,WALL_SPT,,CUBE_SPD,CUBE_SPT,CEILING SPD,CEILING SPT,FLOOR_SPD,FLOOR_SPT,WALL_SPD,WALL_SPT
480,0.014785531,0.031419672,0.002506339,0.060410057,0.003177046,0.060410057,0,0.034340418,0,0.093631713,0,0,0,0,1,0.666492448,0,0.330054307,0,0.524381254,0,0.577173866,0,,,0.83311556,0,0.412567884,0,0.655476567,0,0.721467333,0,,0.666492448,0,0.330054307,0,0.524381254,0,0.577173866,0
485,0.013013862,0.031297228,0.002711172,0.06014644,0.003304749,0.06014644,0,0.035232527,0,0.097632585,0,0,0,0,1,0.65795312,0,0.326935448,0,0.520512346,0,0.574235174,0,,,0.8224414,0,0.40866931,0,0.650640433,0,0.717793967,0,,0.65795312,0,0.326935448,0,0.520512346,0,0.574235174,0
490,0.013491731,0.031212556,0.003000922,0.060461269,0.003689571,0.060461269,0,0.036957179,0,0.103145311,0,0,0,0,1,0.651212608,0,0.32614525,0,0.517490186,0,0.571503174,0,,,0.81401576,0,0.407681563,0,0.646862733,0,0.714378967,0,,0.651212608,0,0.32614525,0,0.517490186,0,0.571503174,0
495,0.015953442,0.031132667,0.003754011,0.06166028,0.004436,0.06166028,0,0.038322803,0,0.112563943,0,0,0,0,1,0.644439008,0,0.326075375,0,0.515362294,0,0.568512694,0,,,0.80554876,0,0.407594219,0,0.644202867,0,0.710640867,0,,0.644439008,0,0.326075375,0,0.515362294,0,0.568512694,0
500,0.019551114,0.031179017,0.005188494,0.064026737,0.006123389,0.064026737,0,0.04066835,0,0.125065709,0,0,0,0,1,0.638251168,0,0.32517229,0,0.513138214,0,0.566764426,0,,,0.79781396,0,0.406465362,0,0.641422767,0,0.708455533,0,,0.638251168,0,0.32517229,0,0.513138214,0,0.566764426,0
505,0.023689919,0.031779456,0.008597767,0.067984389,0.009460926,0.067984389,0,0.042870019,0,0.140810439,0,0,0,0,1,0.63299936,0,0.325103789,0,0.511909226,0,0.56498024,0,,,0.7912492,0,0.406379736,0,0.639886533,0,0.7062253,0,,0.63299936,0,0.325103789,0,0.511909226,0,0.56498024,0
510,0.027927103,0.032835744,0.013865778,0.073105537,0.015368,0.073105537,0,0.04481055,0,0.154023947,0,0,0,0,1,0.628396224,0,0.325870125,0,0.510647466,0,0.563171546,0,,,0.78549528,0,0.407337656,0,0.638309333,0,0.703964433,0,,0.628396224,0,0.325870125,0,0.510647466,0,0.563171546,0
515,0.031558152,0.034799017,0.022508422,0.080041263,0.025093994,0.080041263,0,0.047111443,0,0.16782876,0,0,0,0,1,0.623018048,0,0.325771402,0,0.509658454,0,0.56158016,0,,,0.77877256,0,0.407214253,0,0.637073067,0,0.7019752,0,,0.623018048,0,0.325771402,0,0.509658454,0,0.56158016,0
520,0.034480754,0.038328967,0.034731444,0.088280103,0.038608823,0.088280103,0,0.050133058,0,0.177747258,0,0,0,0,1,0.618569952,0,0.326015616,0,0.508577706,0,0.560446294,0,,,0.77321244,0,0.40751952,0,0.635722133,0,0.700557867,0,,0.618569952,0,0.326015616,0,0.508577706,0,0.560446294,0
525,0.036390578,0.043312989,0.048791194,0.096716354,0.054138926,0.096716354,0,0.053174581,0,0.186035189,0,0,0,0,1,0.614117888,0,0.3262151,0,0.507471946,0,0.55877784,0,,,0.76764736,0,0.407768875,0,0.634339933,0,0.6984723,0,,0.614117888,0,0.3262151,0,0.507471946,0,0.55877784,0
