day,plant_id,organ_class,organ_index,rank,order,parent_rank,parent_organ_class,age_dd,dry_biomass_mg,area_m2,length,is_fruit,is_root,internode_width_m,leaf_length_petiole,leaf_diameter_petiole,leaf_angle_petiole,leaf_ccw_orientation,leaf_curvature,leaf_blades_nr,leaf_area_blades_total,leaf_rachis_length,leaf_segments_length,leaf_area_m2blades,leaf_inclination_segments,fruit_nr,fruit_radii,fruit_age_dd,fruit_ripening_dd,fruit_truss_angle
58,1,Root,0,0,0,-1,none,889.7458,229.2000005632639,0.0,0.0,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Root,1,0,0,-1,none,889.7458,229.2000005632639,0.0,0.0,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Root,2,0,0,-1,none,889.7458,229.2000005632639,0.0,0.0,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,0,4,1,3,Internode,246.12958,23.64985945406226,5.465273361463915E-4,0.025234008,false,false,0.006894071394908494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,1,4,1,3,Internode,246.12958,23.64985945406226,5.465273361463915E-4,0.025234008,false,false,0.006894071394908494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,2,4,1,3,Internode,246.12958,23.64985945406226,5.465273361463915E-4,0.025234008,false,false,0.006894071394908494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,3,4,1,3,Internode,323.24725,36.155690838848386,6.271516970654897E-4,0.027625786,false,false,0.007226168489728002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,4,4,1,3,Internode,323.24725,36.155690838848386,6.271516970654897E-4,0.027625786,false,false,0.007226168489728002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,5,4,1,3,Internode,323.24725,36.155690838848386,6.271516970654897E-4,0.027625786,false,false,0.007226168489728002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,6,4,1,3,Internode,323.24725,36.155690838848386,6.271516970654897E-4,0.027625786,false,false,0.007226168489728002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,7,4,1,3,Internode,323.24725,36.155690838848386,6.271516970654897E-4,0.027625786,false,false,0.007226168489728002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,8,4,1,3,Internode,323.24725,36.155690838848386,6.271516970654897E-4,0.027625786,false,false,0.007226168489728002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,9,4,1,3,Internode,323.24725,36.155690838848386,6.271516970654897E-4,0.027625786,false,false,0.007226168489728002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,10,4,1,3,Internode,323.24725,36.155690838848386,6.271516970654897E-4,0.027625786,false,false,0.007226168489728002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,11,4,1,3,Internode,323.24725,36.155690838848386,6.271516970654897E-4,0.027625786,false,false,0.007226168489728002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,0,9,0,8,Internode,323.24725,90.38922709712095,8.440614538730072E-4,0.03359002,false,false,0.007998599444680104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,1,9,0,8,Internode,323.24725,90.38922709712095,8.440614538730072E-4,0.03359002,false,false,0.007998599444680104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,2,9,0,8,Internode,323.24725,90.38922709712095,8.440614538730072E-4,0.03359002,false,false,0.007998599444680104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,0,3,1,2,Internode,354.0753,41.74181490587156,6.570513225975831E-4,0.028485628,false,false,0.00734215629199034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,1,3,1,2,Internode,354.0753,41.74181490587156,6.570513225975831E-4,0.028485628,false,false,0.00734215629199034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,2,3,1,2,Internode,354.0753,41.74181490587156,6.570513225975831E-4,0.028485628,false,false,0.00734215629199034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,3,3,1,2,Internode,431.45737,55.31426798101361,7.198377106260263E-4,0.030248908,false,false,0.007574867075219332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,4,3,1,2,Internode,431.45737,55.31426798101361,7.198377106260263E-4,0.030248908,false,false,0.007574867075219332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,5,3,1,2,Internode,431.45737,55.31426798101361,7.198377106260263E-4,0.030248908,false,false,0.007574867075219332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,6,3,1,2,Internode,431.45737,55.31426798101361,7.198377106260263E-4,0.030248908,false,false,0.007574867075219332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,7,3,1,2,Internode,431.45737,55.31426798101361,7.198377106260263E-4,0.030248908,false,false,0.007574867075219332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,8,3,1,2,Internode,431.45737,55.31426798101361,7.198377106260263E-4,0.030248908,false,false,0.007574867075219332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,9,3,1,2,Internode,431.45737,55.31426798101361,7.198377106260263E-4,0.030248908,false,false,0.007574867075219332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,10,3,1,2,Internode,431.45737,55.31426798101361,7.198377106260263E-4,0.030248908,false,false,0.007574867075219332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,11,3,1,2,Internode,431.45737,55.31426798101361,7.198377106260263E-4,0.030248908,false,false,0.007574867075219332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,0,2,1,1,Internode,462.4551,60.0602012355122,7.393050360358764E-4,0.030784808,false,false,0.007644293286377979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,1,2,1,1,Internode,462.4551,60.0602012355122,7.393050360358764E-4,0.030784808,false,false,0.007644293286377979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,2,2,1,1,Internode,462.4551,60.0602012355122,7.393050360358764E-4,0.030784808,false,false,0.007644293286377979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
