day,plant_id,organ_class,rank,order,parent_rank,age_dd,dry_biomass_mg,area_m2,length,is_fruit,is_root,internode_width_m,leaf_length_petiole,leaf_diameter_petiole,leaf_angle_petiole,leaf_ccw_orientation,leaf_curvature,leaf_blades_nr,leaf_area_blades_total,leaf_rachis_length,fruit_nr,fruit_radius_0,fruit_radius_1,fruit_radius_2,fruit_age_dd_0,fruit_age_dd_1,fruit_age_dd_2,fruit_ripening_dd,fruit_truss_angle
7,2,Leaf,0,0,0,402.5026,7.390225867537126,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,180.0,90.0,1,1.3461884E-4,0.0,0,0,0,0,0,0,0,0,0
7,2,Leaf,0,0,0,402.5026,7.390225867537126,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,0.0,90.0,1,1.3461884E-4,0.0,0,0,0,0,0,0,0,0,0
7,2,Leaf,1,0,0,102.50256,88.51949185930431,0.0017514777812781502,0.0,false,false,0,0.025834395,0.0044608274,90.0,90.0,90.0,2,0.0014023476,0.031265967,0,0,0,0,0,0,0,0,0
7,2,Leaf,1,0,0,102.50256,88.51949185930431,0.0017514777812781502,0.0,false,false,0,0.025834395,0.0044608274,90.0,270.0,90.0,2,0.0014023476,0.031265967,0,0,0,0,0,0,0,0,0
7,2,Leaf,2,0,0,102.50256,50.7887108068291,0.0011917337986272513,0.0,false,false,0,0.022521561,0.0039951443,70.0,180.0,90.0,3,7.7115756E-4,0.05502013,0,0,0,0,0,0,0,0,0
7,3,Leaf,0,0,0,402.5026,7.404029916450409,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,180.0,90.0,1,1.3461884E-4,0.0,0,0,0,0,0,0,0,0,0
7,3,Leaf,0,0,0,402.5026,7.404029916450409,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,0.0,90.0,1,1.3461884E-4,0.0,0,0,0,0,0,0,0,0,0
7,3,Leaf,1,0,0,102.50256,88.79610281899667,0.0017535669176398845,0.0,false,false,0,0.025840692,0.004461701,90.0,90.0,90.0,2,0.0014042999,0.031270497,0,0,0,0,0,0,0,0,0
7,3,Leaf,1,0,0,102.50256,88.79610281899667,0.0017535669176398845,0.0,false,false,0,0.025840692,0.004461701,90.0,270.0,90.0,2,0.0014042999,0.031270497,0,0,0,0,0,0,0,0,0
7,3,Leaf,2,0,0,102.50256,50.865708011109476,0.0011918303586964476,0.0,false,false,0,0.022521973,0.0039952025,70.0,180.0,90.0,3,7.712381E-4,0.055021413,0,0,0,0,0,0,0,0,0
7,4,Leaf,0,0,0,402.5026,7.401327080978669,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,180.0,90.0,1,1.3461884E-4,0.0,0,0,0,0,0,0,0,0,0
7,4,Leaf,0,0,0,402.5026,7.401327080978669,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,0.0,90.0,1,1.3461884E-4,0.0,0,0,0,0,0,0,0,0,0
7,4,Leaf,1,0,0,102.50256,88.50930247713526,0.0017492976043363105,0.0,false,false,0,0.025827818,0.004459915,90.0,90.0,90.0,2,0.0014003103,0.03126124,0,0,0,0,0,0,0,0,0
