file_name,plant_density,age_in_days_d,age_in_degree_days_dd,avg_dry_biomass_plant_with_roots_plant_daly_mg, gross photosynthesis CH2O mg,maintenance CH2O mg,avg_cumulative_PAR_absorbed_per_plant_umol,avg_cumulative_gross_assimmilates_plant_mg,avg_cumulative_assimilates_plant_mg
base_plant_dynamic_50.csv,50.0,1.0,390.0,157.0927625260653,16.666609284484064,-2.809854159680833E-7,0.17770282882365138,16.666609284484064,16.66660956546948
base_plant_dynamic_50.csv,50.0,2.0,403.75024,190.52180822430532,43.24664931530328,0.783740506846575,0.7338553990792183,59.913258599787355,59.12951837392619
base_plant_dynamic_50.csv,50.0,3.0,417.60886,232.1639388806438,53.298366496332,1.7657176384144728,1.4147986555441647,113.21162509611935,110.66216723184372
base_plant_dynamic_50.csv,50.0,4.0,432.64035,280.81567778784796,63.52763458745221,2.7098485845017026,2.220757145126405,176.73925968357156,171.4799532347942
base_plant_dynamic_50.csv,50.0,5.0,448.06488,323.4959409406189,60.824704588760454,3.580557839103695,3.175591015296679,237.56396427233202,228.724099984451
base_plant_dynamic_50.csv,50.0,6.0,463.4899,374.6900704208888,72.25106260638591,4.414917031292408,4.28490671750325,309.8150268787179,296.5602455595445
base_plant_dynamic_50.csv,50.0,7.0,478.69873,429.95401542030606,79.46303286586131,5.178466810671555,5.553802620427835,389.27805974457925,370.84481161473417
base_plant_dynamic_50.csv,50.0,8.0,494.17252,494.5507950775022,93.32597826501036,6.188127472104233,6.996442695717322,482.6040380095896,457.9826624076403
base_plant_dynamic_50.csv,50.0,9.0,509.64432,571.2268203383813,109.62849138854743,7.278197232774182,8.6196170037639,592.232529398137,560.3329565634135
base_plant_dynamic_50.csv,50.0,10.0,525.0518,655.6005655660608,121.44268194409347,8.479233565785737,10.43456392494692,713.6752113422305,673.2964049417213
base_plant_dynamic_50.csv,50.0,11.0,540.5042,753.2579571872944,135.25921556392578,9.875057953420233,12.442275047430996,848.9344269061562,798.6805625522268
base_plant_dynamic_50.csv,50.0,12.0,555.90924,829.5993221081761,119.42603106324454,11.086846335434787,14.615793054467979,968.3604579694007,907.0197472800368
base_plant_dynamic_50.csv,50.0,13.0,571.4272,942.5103949680745,161.95740741388485,12.632318919008414,16.961244420459366,1130.3178653832858,1056.344835774913
base_plant_dynamic_50.csv,50.0,14.0,586.6967,1054.7991841518308,165.99486422780797,14.042378424062314,19.491536619880232,1296.3127296110936,1208.2973215786587
base_plant_dynamic_50.csv,50.0,15.0,601.94476,1182.1264644313908,186.85760336348793,15.782166432780018,22.204915327984633,1483.1703329745817,1379.3727585093668
base_plant_dynamic_50.csv,50.0,16.0,617.3142,1319.212836857647,203.52876802816573,17.8672240982696,25.11314927582334,1686.6991010027473,1565.034302439263
base_plant_dynamic_50.csv,50.0,17.0,632.88324,1470.9637299608758,226.26085475643708,20.407878632552887,28.205677166241795,1912.9599557591844,1770.8872785631472
base_plant_dynamic_50.csv,50.0,18.0,648.5118,1639.2335481786486,250.6153656481024,23.02250543982988,31.48001740252181,2163.5753214072865,1998.4801387714194
base_plant_dynamic_50.csv,50.0,19.0,664.12286,1821.744718820849,271.9664760235631,25.744377113777023,34.92899714370833,2435.5417974308493,2244.7022376812056
base_plant_dynamic_50.csv,50.0,20.0,679.72455,2014.9342507978754,290.05846196800826,28.668282846824336,38.53949994843876,2725.600259398858,2506.0924168023894
base_plant_dynamic_50.csv,50.0,21.0,695.2519,2220.9481759152677,310.0031482857378,31.622821407564704,42.30632105278819,3035.603407684596,2784.4727436805633
base_plant_dynamic_50.csv,50.0,22.0,710.76276,2437.072359685665,327.2928175554399,34.81947774394455,46.211769110354325,3362.896225240036,3076.946083492058
base_plant_dynamic_50.csv,50.0,23.0,726.246,2663.255890774338,343.9766690338897,38.075624281108475,50.236193253387185,3706.8728942739253,3382.847128244839
base_plant_dynamic_50.csv,50.0,24.0,741.72485,2896.715731473878,357.9870218824687,41.441541916801384,54.36094355029897,4064.859916156395,3699.3926082105068
base_plant_dynamic_50.csv,50.0,25.0,757.1734,3121.75710318802,372.72267694749024,44.77759817138436,58.58092125510833,4437.5825931038835,4027.3376869866124
base_plant_dynamic_50.csv,50.0,26.0,772.58997,3354.2543828903235,395.52834548474294,48.61114724994646,62.878486780673306,4833.110938588627,4374.2548852214095
base_plant_dynamic_50.csv,50.0,27.0,788.0229,3580.2985167468714,403.7564683003322,53.086694492198504,67.25948689966108,5236.86740688896,4724.924659029542
base_plant_dynamic_50.csv,50.0,28.0,803.4869,3796.744933442063,409.6763674754946,58.016379140442545,71.70165600690241,5646.543774364454,5076.584647364594
base_plant_dynamic_50.csv,50.0,29.0,818.982,4004.9723067292484,414.895644339,63.569903859246814,76.19548400123111,6061.439418703453,5427.9103878443475
base_plant_dynamic_50.csv,50.0,30.0,834.4845,4250.659809692309,421.7712552856122,69.32875102576284,80.77046759749176,6483.210673989067,5780.352892104198
base_plant_dynamic_50.csv,50.0,31.0,849.958,4501.729512736743,425.54531807801095,72.23368544182979,85.39053058825384,6908.7559920670765,6133.664524740378
base_plant_dynamic_50.csv,50.0,32.0,865.4478,4753.243392502005,428.2588716350317,74.59229369119481,90.048353098336,7337.014863702108,6487.331102684215
base_plant_dynamic_50.csv,50.0,33.0,880.9092,5005.8056925534065,430.8863305883626,76.05665963012575,94.73954312418661,7767.901194290472,6842.160773642452
base_plant_dynamic_50.csv,50.0,34.0,896.36237,5258.870948661055,432.4311162107745,76.6149116796934,99.45273825725076,8200.332310501246,7197.976978173532
base_plant_dynamic_50.csv,50.0,35.0,911.86676,5513.911750567206,434.1722500493129,76.00252830039888,104.19848213692562,8634.504560550558,7556.146699922446
base_plant_dynamic_50.csv,50.0,36.0,927.26117,5769.976288322873,435.57462572682505,76.30984835326848,108.96712144526083,9070.079186277384,7915.411477296004
base_plant_dynamic_50.csv,50.0,37.0,942.6949,6025.192568073154,436.25298517930935,77.54127654341514,113.75501289100832,9506.332171456692,8274.123185931898
base_plant_dynamic_50.csv,50.0,38.0,958.1642,6280.923056653875,436.8948870237241,78.63703939600015,118.55941267517771,9943.227058480416,8632.381033559623
base_plant_dynamic_50.csv,50.0,39.0,973.54114,6536.551403718045,436.7616883077878,78.89857798079933,123.37573669255787,10379.988746788204,8990.244143886608
base_plant_dynamic_50.csv,50.0,40.0,988.99664,6790.185847822636,435.3497571237927,79.97297753824579,128.19143794868617,10815.338503911997,9345.620923472155
base_plant_dynamic_50.csv,50.0,41.0,1004.42957,7043.633490475067,435.1788227168817,80.27509084397609,133.02045394624395,11250.517326628878,9700.524655345063
base_plant_dynamic_50.csv,50.0,42.0,1019.8124,7296.909486032405,434.68832071635893,80.30171932246066,137.85317208255856,11685.205647345238,10054.91125673896
base_plant_dynamic_50.csv,50.0,43.0,1035.2491,7548.582531718926,432.7873822739682,80.8223684941592,142.68807233729336,12117.993029619209,10406.87627051877
base_plant_dynamic_50.csv,50.0,44.0,1050.6141,7799.9911878761095,431.9330181153122,80.51953147201304,147.52386332076625,12549.926047734518,10758.289757162067
base_plant_dynamic_50.csv,50.0,45.0,1065.9596,8050.6226375435845,430.58430420694725,80.44111183136101,152.3578304024124,12980.510351941462,11108.432949537655
base_plant_dynamic_50.csv,50.0,46.0,1081.2559,8299.821954508974,429.11558216396446,80.16994611849107,157.19429169069545,13409.625934105432,11457.378585583127
base_plant_dynamic_50.csv,50.0,47.0,1096.5245,8549.287519186399,428.22362591844836,79.96869887160257,162.03042207744946,13837.849560023877,11805.633512629975
base_plant_dynamic_50.csv,50.0,48.0,1111.791,8797.946154075926,426.84533448377647,79.85961022742293,166.86394576057873,14264.694894507655,12152.619236886327
base_plant_dynamic_50.csv,50.0,49.0,1127.0138,9045.651662058346,425.06820248536974,79.51893066996139,171.69553441163407,14689.763096993025,12498.168508701734
base_plant_dynamic_50.csv,50.0,50.0,1142.2472,9292.589647934712,423.78723699028757,79.41958652144257,176.52229502247835,15113.55033398331,12842.53615917058
base_plant_dynamic_50.csv,50.0,51.0,1157.6676,9537.651746097517,421.9357276188807,80.2689081416699,181.34234324331422,15535.486061602194,13184.202978647789
base_plant_dynamic_50.csv,50.0,52.0,1173.0497,9780.039190819512,418.9518201298301,79.78983957281527,186.1428519366335,15954.437881732023,13523.364959204808
base_plant_dynamic_50.csv,50.0,53.0,1188.4918,10020.653883135856,417.28194280936685,79.77908001639393,190.94599273736085,16371.71982454139,13860.86782199778
base_plant_dynamic_50.csv,50.0,54.0,1204.0741,10260.406565855455,415.35783848540245,80.17443266351512,195.75067907041995,16787.077663026794,14196.051227819666
