Step,Time,X_Pos_m,Deflection_mm,Force_N
144,1.8840,0.000000,0.0000,0.104014
145,1.8983,0.000000,0.0000,0.104014
146,1.9119,0.000000,0.0000,0.104014
147,1.9286,0.000000,0.0000,0.104014
148,1.9437,0.000000,0.0000,0.104014
149,1.9592,0.000000,0.0000,0.104014
150,1.9723,0.000000,0.0000,0.104014
151,1.9864,0.000000,0.0000,0.104014
152,1.9985,0.000000,0.0000,0.104014
153,2.0108,0.000000,0.0000,0.104014
154,2.0237,0.000000,0.0000,0.104014
155,2.0376,0.000000,0.0000,0.104014
156,2.0506,0.000000,0.0000,0.104014
157,2.0640,0.000000,0.0000,0.104014
158,2.0763,0.000000,0.0000,0.104014
159,2.0901,0.000000,0.0000,0.104014
160,2.1015,0.000000,0.0000,0.104014
161,2.1146,0.000000,0.0000,0.104014
162,2.1274,0.000000,0.0000,0.104014
163,2.1417,0.000000,0.0000,0.104014
164,2.1542,0.000000,0.0000,0.104014
165,2.1671,0.000000,0.0000,0.104014
166,2.1790,0.000000,0.0000,0.104014
167,2.1919,0.000000,0.0000,0.104014
168,2.2049,0.000000,0.0000,0.104014
169,2.2170,0.000000,0.0000,0.104014
170,2.2306,0.000000,0.0000,0.104014
171,2.2444,0.000000,0.0000,0.104014
172,2.2575,0.000000,0.0000,0.104014
173,2.2701,0.000000,0.0000,0.104014
174,2.2850,0.000000,0.0000,0.104014
175,2.2995,0.000000,0.0000,0.104014
176,2.3117,0.000000,0.0000,0.104014
177,2.3256,0.000000,0.0000,0.104014
178,2.3408,0.000000,0.0000,0.104014
179,2.3545,0.000000,0.0000,0.104014
180,2.3674,0.000000,0.0000,0.104014
181,2.3806,0.000000,0.0000,0.104014
182,2.3934,0.000000,0.0000,0.104014
183,2.4064,0.000000,0.0000,0.104014
184,2.4190,0.000000,0.0000,0.104014
185,2.4316,0.000000,0.0000,0.104014
186,2.4449,0.000000,0.0000,0.104014
187,2.4574,0.000000,0.0000,0.104014
188,2.4698,0.000000,0.0000,0.104014
189,2.4822,0.000000,0.0000,0.104014
