file_name,plant_density,plant_number,age_in_days_d,age_in_degree_days_dd,dry_biomass_leaf_blades_mg,leaf_blade_area_m2,dry_biomass_leaf_blades_order_0_mg,leaf_blade_area_order_0_m2,dry_biomass_leaf_blades_order_1_mg,leaf_blade_area_order_1_m2,dry_biomass_leaves_mg,leaf_area_m2,dry_biomass_leaves_0_mg,leaf_area_order_0_m2,dry_biomass_leaves_1_mg,leaf_area_order_1_m2,dry_biomass_stems_mg,dry_biomass_internodes_mg,dry_biomass_internodes_order_0_mg,dry_biomass_internodes_order_1_mg, dry_biomass_fruits_mg,fresh_biomass_fruits_mg, fresh_biomass_fruits_harvested_mg,dry_biomass_plant_above_ground_mg, dry_biomass_roots,dry_biomass_truss_mg, gross photosynthesis CH2O mg,maintenance CH2O mg, assimilates_mg, PAR_absorbed_daily_umol, PAR_absorbed_leaves_daily_umol, cumulative_PAR_absorbed_per_plant_umol, cumulative_gross_assimmilates_plant_mg, cumulative_assimilates_plant_mg
base_plant_dynamic_50.csv,50.0,1,1,390.0,48.03057861328125,0.0011287110392004251,48.03057861328125,0.0011287110392004251,0.0,0.0,57.39646460088193,0.0018964154389649829,57.39646460088193,0.0018964154389649829,0.0,0.0,32.761483170659716,23.395597183059035,13.1226911572764,0.0,0.0,0.0,0.0,80.79206178394095,76.40000018775463,0.0,16.80530181818666,-2.8098541596808324E-7,16.805302099172074,0.17999851627100932,0.17999851627100932,0.17999851627100932,16.80530181818666,16.805302099172074
base_plant_dynamic_50.csv,50.0,1,2,403.75024,67.40071105957031,0.0014974242076277733,67.40071105957031,0.0014974242076277733,0.0,0.0,81.28457304529684,0.0023441385914974525,81.28457304529684,0.0023441385914974525,0.0,0.0,42.25559949310923,28.37173750738271,16.748103766463426,0.0,0.0,0.0,0.0,109.65631055267954,82.2537582921945,0.0,44.541201611475294,0.7893316280800945,43.7518699833952,0.5792414697134246,0.543265573690457,0.7592399859844339,61.34650342966195,60.55717208256728
base_plant_dynamic_50.csv,50.0,1,3,417.60886,91.28175354003906,0.001889210776425898,91.28175354003906,0.001889210776425898,0.0,0.0,110.84753725592142,0.002816739529065572,110.84753725592142,0.002816739529065572,0.0,0.0,54.62079575272347,35.05501203684111,21.862051334413064,0.0,0.0,0.0,0.0,145.90254929276253,89.45606096016466,0.0,55.10482969720995,1.7657700875778524,53.3390596096321,0.7139564360685913,0.6753745539040803,1.4731964220530251,116.4513331268719,113.89623169219938
base_plant_dynamic_50.csv,50.0,1,4,432.64032,120.14985656738281,0.0023447200655937195,120.14985656738281,0.0023447200655937195,0.0,0.0,146.84472016195323,0.0034335839090227334,146.84472016195323,0.0034335839090227334,0.0,0.0,70.85191969793732,44.15705610336691,29.471453426799673,0.0,0.0,0.0,0.0,191.00177626532013,95.76203914564901,0.0,66.2780155109959,2.706763257207598,63.5712522537883,0.8559931281442176,0.8154438518446934,2.329189550197243,182.72934863786782,177.46748394598768
base_plant_dynamic_50.csv,50.0,1,5,448.06482,143.2313995361328,0.002863642293959856,143.2313995361328,0.002863642293959856,0.0,0.0,176.23972103205253,0.004097958173748249,176.23972103205253,0.004097958173748249,0.0,0.0,85.32794537839578,52.31962388247605,37.58405415830711,0.0,0.0,0.0,0.0,228.5593449145286,92.76596935005276,0.0,52.70141934888752,3.576036898389454,49.125382450498066,1.0263644911016572,0.9789667503651547,3.3555540412989,235.43076798675534,226.59286639648576
base_plant_dynamic_50.csv,50.0,1,6,463.4899,177.6744842529297,0.00344183761626482,177.6744842529297,0.00344183761626482,0.0,0.0,219.97859538248264,0.00481184769470793,219.97859538248264,0.00481184769470793,0.0,0.0,107.95124854747553,65.6471374179226,50.01697224388559,0.0,0.0,0.0,0.0,285.6257328004053,95.96885950736595,0.0,81.32541281268476,4.414118674671339,76.91129413801342,1.2053775733050947,1.15318193353537,4.560931614603994,316.75618079944013,303.5041605344992
base_plant_dynamic_50.csv,50.0,1,7,478.69873,206.42422485351562,0.004081255756318569,206.42422485351562,0.004081255756318569,0.0,0.0,257.15392653990403,0.005673856638199932,257.15392653990403,0.005673856638199932,0.0,0.0,129.02003151795952,78.2903298315711,62.794842403618944,0.0,0.0,0.0,0.0,335.4442563714751,93.48493812275382,0.0,71.53100472263887,5.175781480408588,66.35522324223028,1.3963409896355676,1.3399116232970514,5.957272604239562,388.28718552207897,369.8593837767295
base_plant_dynamic_50.csv,50.0,1,8,494.17252,248.27926635742188,0.004822058603167534,248.27926635742188,0.004822058603167534,0.0,0.0,311.12118781518126,0.006618183002217879,311.12118781518126,0.006618183002217879,0.0,0.0,160.11104165273503,97.26912019497567,81.32699829602448,0.0,0.0,0.0,0.0,408.3903080101569,95.35306508799995,0.0,103.54057562461524,6.185325884977303,97.35524973963794,1.6128492345978058,1.5489081486514535,7.570121838837368,491.82776114669423,467.2146335163674
base_plant_dynamic_50.csv,50.0,1,9,509.6443,287.7802734375,0.005659929942339659,287.7802734375,0.005659929942339659,0.0,0.0,362.7064228552694,0.007648349132600098,362.7064228552694,0.007648349132600098,0.0,0.0,191.08273106852073,116.1565816507513,100.43924655320657,0.0,0.0,0.0,0.0,478.8630045060208,93.87356702984708,0.0,101.94149899520401,7.274031662599147,94.66746733260487,1.8453520394854035,1.7760226247784305,9.415473878322771,593.7692601418983,561.8821008489723
base_plant_dynamic_50.csv,50.0,1,10,525.0518,340.95660400390625,0.006591706536710262,340.95660400390625,0.006591706536710262,0.0,0.0,431.96652100546964,0.008762535960743011,431.96652100546964,0.008762535960743011,0.0,0.0,231.7734919371452,140.7635749355818,124.76095636093127,0.0,0.0,0.0,0.0,572.7300959410514,95.57745496278181,0.0,132.63753474973876,8.476852231144848,124.16068251859392,2.104266141499689,2.0305078909422662,11.51974001982246,726.406794891637,686.0427833675662
