day,plant_id,organ_class,organ_index,rank,order,parent_rank,parent_organ_class,age_dd,dry_biomass_mg,area_m2,length,is_fruit,is_root,internode_width_m,leaf_length_petiole,leaf_diameter_petiole,leaf_angle_petiole,leaf_ccw_orientation,leaf_curvature,leaf_blades_nr,leaf_area_blades_total,leaf_rachis_length,fruit_nr,fruit_radius_0,fruit_radius_1,fruit_radius_2,fruit_age_dd_0,fruit_age_dd_1,fruit_age_dd_2,fruit_ripening_dd,fruit_truss_angle
12,1,Root,0,0,0,-1,none,179.71304,94.93738828665259,0.0,0.0,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,Internode,0,5,0,4,Internode,30.857397,3.715895753080713,1.1919720014230193E-4,0.006808323,false,false,0.0055728331370972104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,Internode,0,4,0,3,Internode,92.41929,27.083949401751084,2.299309047507604E-4,0.010650101,false,false,0.006872167626568019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,Internode,0,3,0,2,Internode,138.30031,53.299299969722114,2.8902707955784585E-4,0.012445321,false,false,0.007392350469039586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,Internode,0,0,0,0,Root,569.7131,15.908711548044938,1.876373479745259E-4,0.009273324,false,false,0.006440713366177932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,Internode,0,1,0,0,Internode,479.71304,21.88129949611294,2.0984221199712308E-4,0.0100072455,false,false,0.0066746489674448725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,Internode,0,2,0,1,Internode,179.71304,72.87158087930554,3.211059080228244E-4,0.013370109,false,false,0.00764475342989111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,Leaf,0,5,0,5,Internode,30.857397,2.7481969103135278,2.2562600127090763E-4,0.0,false,false,0,0.01375753,0.0026887867,70.0,0.0,90.0,4,4.625612E-5,0.038343247,0,0,0,0,0,0,0,0,0
12,1,Leaf,0,4,0,4,Internode,92.41929,38.387701801311195,0.0010498042181951756,0.0,false,false,0,0.02144377,0.0038408022,70.0,0.0,90.0,4,5.828606E-4,0.07148431,0,0,0,0,0,0,0,0,0
12,1,Leaf,0,3,0,3,Internode,138.30031,95.13670741895488,0.0019173180092268496,0.0,false,false,0,0.025036786,0.0043498394,70.0,0.0,90.0,3,0.0014113203,0.057776365,0,0,0,0,0,0,0,0,0
12,1,Leaf,0,0,0,0,Internode,479.71304,7.493094681473419,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,180.0,90.0,1,1.3461884E-4,0.0,0,0,0,0,0,0,0,0,0
12,1,Leaf,1,0,0,0,Internode,479.71304,7.493094681473419,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,0.0,90.0,1,1.3461884E-4,0.0,0,0,0,0,0,0,0,0,0
12,1,Leaf,0,1,0,1,Internode,179.71304,117.34032551948998,0.002171905067671333,0.0,false,false,0,0.026982466,0.00461941,90.0,90.0,90.0,2,0.0017974356,0.032091632,0,0,0,0,0,0,0,0,0
12,1,Leaf,1,1,0,1,Internode,179.71304,117.34032551948998,0.002171905067671333,0.0,false,false,0,0.026982466,0.00461941,90.0,270.0,90.0,2,0.0017974356,0.032091632,0,0,0,0,0,0,0,0,0
12,1,Leaf,0,2,0,2,Internode,179.71304,168.84516284604368,0.0031207741195138487,0.0,false,false,0,0.027625008,0.0047075823,70.0,180.0,90.0,3,0.0024746812,0.07178875,0,0,0,0,0,0,0,0,0
