day,plant_id,organ_class,organ_index,rank,order,parent_rank,parent_organ_class,age_dd,dry_biomass_mg,area_m2,length,is_fruit,is_root,internode_width_m,leaf_length_petiole,leaf_diameter_petiole,leaf_angle_petiole,leaf_ccw_orientation,leaf_curvature,leaf_blades_nr,leaf_area_blades_total,leaf_rachis_length,leaf_segments_length,leaf_area_m2blades,leaf_inclination_segments,fruit_nr,fruit_radius_0,fruit_radius_1,fruit_radius_2,fruit_age_dd_0,fruit_age_dd_1,fruit_age_dd_2,fruit_ripening_dd,fruit_truss_angle
14,1,Root,0,0,0,-1,none,210.5005,95.3160955919426,0.0,0.0,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,Internode,0,5,0,4,Internode,61.644855,13.322059109513646,1.8115431357734017E-4,0.009053906,false,false,0.006368876176141409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,Internode,0,4,0,3,Internode,123.20675,44.235007741463306,2.709960332611011E-4,0.011911171,false,false,0.007242001622744165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,Internode,0,3,0,2,Internode,169.08777,73.7576976787642,3.22343807570522E-4,0.013405189,false,false,0.007654142088305648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,Internode,0,0,0,0,Root,600.50055,15.958858941968378,1.8758300023580943E-4,0.009271495,false,false,0.006440118143861259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,Internode,0,1,0,0,Internode,510.5005,22.317742826156532,2.1082487516828184E-4,0.010039136,false,false,0.006684603462367867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,Internode,0,2,0,1,Internode,210.5005,92.14110317548486,3.4740208350689396E-4,0.014106351,false,false,0.007839129910068025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,Leaf,0,5,0,5,Internode,61.644855,14.860397994395244,5.611271700072003E-4,0.0,false,false,0,0.018250473,0.0033741288,70.0,0.0,90.0,4,2.3217098E-4,0.05685827,0.01691011_0.01691011,6.6331246E-5_6.6331246E-5_6.6331246E-5_3.317723E-5,90.0_90.0_90.0,0,0,0,0,0,0,0,0,0
14,1,Leaf,0,4,0,4,Internode,123.20675,73.98060022482579,0.0016957611762485687,0.0,false,false,0,0.023967575,0.004199959,70.0,0.0,90.0,4,0.0011000739,0.08385992,0.026802508_0.026802508,3.142911E-4_3.142911E-4_3.142911E-4_1.5720057E-4,90.0_90.0_90.0,0,0,0,0,0,0,0,0,0
14,1,Leaf,0,3,0,3,Internode,169.08777,146.95420613856862,0.0027457360714609738,0.0,false,false,0,0.026957816,0.004616019,70.0,0.0,90.0,3,0.0021523198,0.06420615,0.040142216,8.609279E-4_8.609279E-4_4.3046396E-4,90.0_90.0,0,0,0,0,0,0,0,0,0
14,1,Leaf,0,0,0,0,Internode,510.5005,7.522984799016316,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,180.0,90.0,1,1.3461884E-4,0.0,0.0,1.3461884E-4,0,0,0,0,0,0,0,0,0,0
14,1,Leaf,1,0,0,0,Internode,510.5005,7.522984799016316,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,0.0,90.0,1,1.3461884E-4,0.0,0.0,1.3461884E-4,0,0,0,0,0,0,0,0,0,0
14,1,Leaf,0,1,0,1,Internode,210.5005,117.62179732558567,0.0021688901447111377,0.0,false,false,0,0.026974974,0.0046183793,90.0,90.0,90.0,2,0.0017945885,0.032086246,0,0.0011844283_6.101601E-4,90.0_90.0,0,0,0,0,0,0,0,0,0
14,1,Leaf,1,1,0,1,Internode,210.5005,117.62179732558567,0.0021688901447111377,0.0,false,false,0,0.026974974,0.0046183793,90.0,270.0,90.0,2,0.0017945885,0.032086246,0,0.0011844283_6.101601E-4,90.0_90.0,0,0,0,0,0,0,0,0,0
14,1,Leaf,0,2,0,2,Internode,210.5005,232.27257157033333,0.004097007727300156,0.0,false,false,0,0.029163634,0.004917106,70.0,180.0,90.0,3,0.0033720627,0.07717572,0.045849193,0.001348825_0.001348825_6.744125E-4,90.0_90.0_90.0,0,0,0,0,0,0,0,0,0
