day,plant_id,organ_class,organ_index,rank,order,parent_rank,parent_organ_class,age_dd,dry_biomass_mg,area_m2,length,is_fruit,is_root,internode_width_m,leaf_length_petiole,leaf_diameter_petiole,leaf_angle_petiole,leaf_ccw_orientation,leaf_curvature,leaf_blades_nr,leaf_area_blades_total,leaf_rachis_length,leaf_segments_length,leaf_area_m2blades,leaf_inclination_segments,fruit_nr,fruit_radius_0,fruit_radius_1,fruit_radius_2,fruit_age_dd_0,fruit_age_dd_1,fruit_age_dd_2,fruit_ripening_dd,fruit_truss_angle
34,1,Root,0,0,0,-1,none,520.16614,91.57106514376247,0.0,0.0,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,Internode,0,3,1,0,Internode,61.877693,5.221168316096268,3.2275257119685874E-4,0.017842326,false,false,0.005757956244016422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,Internode,1,3,1,0,Internode,61.877693,5.221168316096268,3.2275257119685874E-4,0.017842326,false,false,0.005757956244016422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,Internode,2,3,1,0,Internode,61.877693,5.221168316096268,3.2275257119685874E-4,0.017842326,false,false,0.005757956244016422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,Internode,0,2,1,0,Internode,92.875435,10.623410055575143,4.033897667695053E-4,0.020662919,false,false,0.0062141729682031474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,Internode,0,8,0,7,Internode,139.18895,52.21613184366372,6.724916893055282E-4,0.028924406,false,false,0.007400696706759494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,Internode,1,2,1,0,Internode,170.11644,28.736321796064633,5.530497829478894E-4,0.025431793,false,false,0.006922092052131704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,Internode,2,2,1,0,Internode,170.11644,28.736321796064633,5.530497829478894E-4,0.025431793,false,false,0.006922092052131704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,Internode,3,2,1,0,Internode,170.11644,28.736321796064633,5.530497829478894E-4,0.025431793,false,false,0.006922092052131704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,Internode,0,1,1,0,Internode,201.11053,37.07960607862944,5.998626825653762E-4,0.026828704,false,false,0.007117086958553119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,Internode,0,7,0,6,Internode,232.23952,114.21412305345669,8.629445251311048E-4,0.034082685,false,false,0.00805933500455974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,Internode,1,1,1,0,Internode,279.04816,58.533624636784566,6.939914214303123E-4,0.029529683,false,false,0.0074807551501412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,Internode,2,1,1,0,Internode,279.04816,58.533624636784566,6.939914214303123E-4,0.029529683,false,false,0.0074807551501412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,Internode,3,1,1,0,Internode,279.04816,58.533624636784566,6.939914214303123E-4,0.029529683,false,false,0.0074807551501412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,Internode,0,6,0,5,Internode,309.66562,166.39924066337144,9.731438037378679E-4,0.03688779,false,false,0.008397393417868848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,Internode,0,5,0,4,Internode,371.31052,202.2311136845051,4.6072406223345404E-4,0.017096702,false,false,0.008577854590358659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,Internode,0,4,0,3,Internode,432.8724,203.42296702664993,4.605973589038825E-4,0.0170935,false,false,0.008577101929924972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,Internode,0,3,0,2,Internode,478.75342,201.19690020651035,4.588397404639865E-4,0.017049052,false,false,0.0085666479928113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,Internode,0,0,0,0,Root,910.1662,15.331825152079315,1.875830002358015E-4,0.009271495,false,false,0.0064401181438609855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,Internode,0,1,0,0,Internode,820.16614,21.45815564428669,2.1082487516827254E-4,0.010039136,false,false,0.006684603462367573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,Internode,0,2,0,1,Internode,520.16614,176.16887424588572,4.3814257826655783E-4,0.016521482,false,false,0.008441441024060461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,Leaf,0,3,1,3,Internode,61.877693,2.9717141524411015,1.9147814286243962E-4,0.0,false,false,0,0.013822835,0.0026990362,70.0,0.0,90.0,3,4.7523667E-5,0.025320044,0.0129810665,1.9009467E-5_1.9009467E-5_9.5047335E-6,90.0_90.0,0,0,0,0,0,0,0,0,0
34,1,Leaf,1,3,1,3,Internode,61.877693,2.9717141524411015,1.9147814286243962E-4,0.0,false,false,0,0.013822835,0.0026990362,70.0,0.0,90.0,3,4.7523667E-5,0.025320044,0.0129810665,1.9009467E-5_1.9009467E-5_9.5047335E-6,90.0_90.0,0,0,0,0,0,0,0,0,0
34,1,Leaf,2,3,1,3,Internode,61.877693,2.9717141524411015,1.9147814286243962E-4,0.0,false,false,0,0.013822835,0.0026990362,70.0,0.0,90.0,3,4.7523667E-5,0.025320044,0.0129810665,1.9009467E-5_1.9009467E-5_9.5047335E-6,90.0_90.0,0,0,0,0,0,0,0,0,0
34,1,Leaf,0,2,1,2,Internode,92.875435,7.678958029718834,3.2142929402488715E-4,0.0,false,false,0,0.01624813,0.0030733568,70.0,0.0,90.0,3,1.1958866E-4,0.03156354,0.017059619,4.7835463E-5_4.7835463E-5_2.3917732E-5,90.0_90.0,0,0,0,0,0,0,0,0,0
