day,plant_id,organ_class,organ_index,rank,order,parent_rank,parent_organ_class,age_dd,dry_biomass_mg,area_m2,length,is_fruit,is_root,internode_width_m,leaf_length_petiole,leaf_diameter_petiole,leaf_angle_petiole,leaf_ccw_orientation,leaf_curvature,leaf_blades_nr,leaf_area_blades_total,leaf_rachis_length,fruit_nr,fruit_radius_0,fruit_radius_1,fruit_radius_2,fruit_age_dd_0,fruit_age_dd_1,fruit_age_dd_2,fruit_ripening_dd,fruit_truss_angle
58,1,Root,0,0,0,-1,none,889.7458,76.40000018775463,0.0,0.0,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2,Root,0,0,0,-1,none,889.7458,76.40000018775463,0.0,0.0,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,3,Root,0,0,0,-1,none,889.7458,76.40000018775463,0.0,0.0,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,4,Root,0,0,0,-1,none,889.7458,76.40000018775463,0.0,0.0,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5,Root,0,0,0,-1,none,889.7458,76.40000018775463,0.0,0.0,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,6,Root,0,0,0,-1,none,889.7458,76.40000018775463,0.0,0.0,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,7,Root,0,0,0,-1,none,889.7458,76.40000018775463,0.0,0.0,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,8,Root,0,0,0,-1,none,889.7458,76.40000018775463,0.0,0.0,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,9,Root,0,0,0,-1,none,889.7458,76.40000018775463,0.0,0.0,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,0,4,1,0,Internode,246.12958,6.63893867511559,3.6203944716944674E-4,0.019243386,false,false,0.005988589396994434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2,Internode,0,4,1,0,Internode,246.12958,7.270590961204826,3.7286474913434563E-4,0.019620141,false,false,0.00604921930843663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,3,Internode,0,4,1,0,Internode,246.12958,7.972167211046062,3.8416732789081745E-4,0.020009538,false,false,0.006111298394102828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,4,Internode,0,4,1,0,Internode,246.12958,7.445301731464302,3.7574601256659614E-4,0.019719785,false,false,0.0060651609544807505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5,Internode,0,4,1,0,Internode,246.12958,7.088541009816611,3.6981223288211465E-4,0.019514287,false,false,0.006032241424851959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,6,Internode,0,4,1,0,Internode,246.12958,7.813630082864329,3.816739208067562E-4,0.019923976,false,false,0.0060977078156637075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,7,Internode,0,4,1,0,Internode,246.12958,6.430862438468251,3.583213878722172E-4,0.0191131,false,false,0.0059674906189898765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,8,Internode,0,4,1,0,Internode,246.12958,7.014914812477011,3.6856262644599465E-4,0.019470867,false,false,0.006025264774502971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,9,Internode,0,4,1,0,Internode,246.12958,7.13242608112814,3.705528566457609E-4,0.019539997,false,false,0.006036369285774935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,1,4,1,0,Internode,323.24725,10.2917298094938,4.173256685929269E-4,0.021129964,false,false,0.006286754041670138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,2,4,1,0,Internode,323.24725,10.2917298094938,4.173256685929269E-4,0.021129964,false,false,0.006286754041670138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,Internode,3,4,1,0,Internode,323.24725,10.2917298094938,4.173256685929269E-4,0.021129964,false,false,0.006286754041670138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2,Internode,1,4,1,0,Internode,323.24725,11.20572676926335,4.289966130030402E-4,0.021517012,false,false,0.006346320825376727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2,Internode,2,4,1,0,Internode,323.24725,11.20572676926335,4.289966130030402E-4,0.021517012,false,false,0.006346320825376727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2,Internode,3,4,1,0,Internode,323.24725,11.20572676926335,4.289966130030402E-4,0.021517012,false,false,0.006346320825376727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,3,Internode,1,4,1,0,Internode,323.24725,12.374077200830671,4.430134098075079E-4,0.02197713,false,false,0.006416467754299174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,3,Internode,2,4,1,0,Internode,323.24725,12.374077200830671,4.430134098075079E-4,0.02197713,false,false,0.006416467754299174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,3,Internode,3,4,1,0,Internode,323.24725,12.374077200830671,4.430134098075079E-4,0.02197713,false,false,0.006416467754299174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,4,Internode,1,4,1,0,Internode,323.24725,11.50904169868466,4.3272698634123425E-4,0.021639962,false,false,0.006365134992685071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,4,Internode,2,4,1,0,Internode,323.24725,11.50904169868466,4.3272698634123425E-4,0.021639962,false,false,0.006365134992685071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,4,Internode,3,4,1,0,Internode,323.24725,11.50904169868466,4.3272698634123425E-4,0.021639962,false,false,0.006365134992685071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5,Internode,1,4,1,0,Internode,323.24725,10.993535455981759,4.263461439036804E-4,0.021429433,false,false,0.006332887825472139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5,Internode,2,4,1,0,Internode,323.24725,10.993535455981759,4.263461439036804E-4,0.021429433,false,false,0.006332887825472139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5,Internode,3,4,1,0,Internode,323.24725,10.993535455981759,4.263461439036804E-4,0.021429433,false,false,0.006332887825472139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,6,Internode,1,4,1,0,Internode,323.24725,12.14824208045959,4.403760451335677E-4,0.02189094,false,false,0.006403381850127625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,6,Internode,2,4,1,0,Internode,323.24725,12.14824208045959,4.403760451335677E-4,0.02189094,false,false,0.006403381850127625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,6,Internode,3,4,1,0,Internode,323.24725,12.14824208045959,4.403760451335677E-4,0.02189094,false,false,0.006403381850127625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,7,Internode,1,4,1,0,Internode,323.24725,10.136657898979754,4.1527678379382597E-4,0.021061637,false,false,0.006276183986797137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,7,Internode,2,4,1,0,Internode,323.24725,10.136657898979754,4.1527678379382597E-4,0.021061637,false,false,0.006276183986797137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,7,Internode,3,4,1,0,Internode,323.24725,10.136657898979754,4.1527678379382597E-4,0.021061637,false,false,0.006276183986797137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
