day,plant_id,organ_class,organ_index,rank,order,parent_rank,parent_organ_class,age_dd,dry_biomass_mg,area_m2,length,is_fruit,is_root,internode_width_m,leaf_length_petiole,leaf_diameter_petiole,leaf_angle_petiole,leaf_ccw_orientation,leaf_curvature,leaf_blades_nr,leaf_area_blades_total,leaf_rachis_length,leaf_segments_length,leaf_area_m2blades,leaf_inclination_segments,fruit_nr,fruit_radius_0,fruit_radius_1,fruit_radius_2,fruit_age_dd_0,fruit_age_dd_1,fruit_age_dd_2,fruit_ripening_dd,fruit_truss_angle
49,1,Root,0,0,0,-1,none,750.8175,76.40000018775463,0.0,0.0,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,Internode,0,4,1,0,Internode,107.20133,10.696225429056694,4.225737021862045E-4,0.021304458,false,false,0.006313673159371853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,Internode,1,4,1,0,Internode,184.319,26.281607805587953,5.655442759641172E-4,0.025808461,false,false,0.006975167331407304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,Internode,2,4,1,0,Internode,184.319,26.281607805587953,5.655442759641172E-4,0.025808461,false,false,0.006975167331407304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,Internode,3,4,1,0,Internode,184.319,26.281607805587953,5.655442759641172E-4,0.025808461,false,false,0.006975167331407304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,Internode,0,9,0,8,Internode,184.319,65.70401951396988,7.611461780572528E-4,0.031380344,false,false,0.007720767876206176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,Internode,0,3,1,0,Internode,215.14706,33.27434498561079,6.104928847115398E-4,0.027140645,false,false,0.007159959478742406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,Internode,1,3,1,0,Internode,292.52914,50.94645410922799,7.008968384693415E-4,0.029722724,false,false,0.007506121984476306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,Internode,2,3,1,0,Internode,292.52914,50.94645410922799,7.008968384693415E-4,0.029722724,false,false,0.007506121984476306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,Internode,3,3,1,0,Internode,292.52914,50.94645410922799,7.008968384693415E-4,0.029722724,false,false,0.007506121984476306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,Internode,0,2,1,0,Internode,323.5269,57.58682336820326,7.292947349022197E-4,0.030509854,false,false,0.007608745884958132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,Internode,0,8,0,7,Internode,369.84036,166.2524524066875,0.0010284115980994358,0.03825343,false,false,0.008557496056425822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,Internode,1,2,1,0,Internode,400.76788,71.54301661495164,7.824462341620514E-4,0.031955525,false,false,0.007793968947973452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,Internode,2,2,1,0,Internode,400.76788,71.54301661495164,7.824462341620514E-4,0.031955525,false,false,0.007793968947973452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,Internode,3,2,1,0,Internode,400.76788,71.54301661495164,7.824462341620514E-4,0.031955525,false,false,0.007793968947973452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,Internode,0,1,1,0,Internode,431.76196,75.67869699342887,7.968312872804863E-4,0.032340948,false,false,0.007842666825364226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,Internode,0,7,0,6,Internode,462.89093,196.88027227234826,0.0010863564757364302,0.039658535,false,false,0.008719384207612172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,Internode,1,1,1,0,Internode,509.69955,79.20250051338053,8.086744913251953E-4,0.032656483,false,false,0.00788232714825494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,Internode,2,1,1,0,Internode,509.69955,79.20250051338053,8.086744913251953E-4,0.032656483,false,false,0.00788232714825494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,Internode,3,1,1,0,Internode,509.69955,79.20250051338053,8.086744913251953E-4,0.032656483,false,false,0.00788232714825494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,Internode,0,6,0,5,Internode,540.317,192.03734691724043,0.001077620715335836,0.039448373,false,false,0.008695347893729045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,Internode,0,5,0,4,Internode,601.96185,178.29572415647166,4.6855335821259785E-4,0.017294025,false,false,0.008624086394256832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,Internode,0,4,0,3,Internode,663.52374,172.6705691558306,4.6336317608740394E-4,0.017163334,false,false,0.008593497992949067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,Internode,0,3,0,2,Internode,709.4047,170.0400426829167,4.6089817279183857E-4,0.017101102,false,false,0.0085788885739725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,Internode,0,0,0,0,Root,1140.8175,12.79172020832685,1.875830002358015E-4,0.009271495,false,false,0.0064401181438609855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,Internode,0,1,0,0,Internode,1050.8175,17.903068973573497,2.1082487516827254E-4,0.010039136,false,false,0.006684603462367573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,Internode,0,2,0,1,Internode,750.8175,146.98204071702878,4.3814257826655783E-4,0.016521482,false,false,0.008441441024060461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,Leaf,0,4,1,4,Internode,107.20133,8.307667804450748,3.638837259482648E-4,0.0,false,false,0,0.01683464,0.003162175,70.0,0.0,90.0,3,1.4642166E-4,0.033140805,0.018113334,5.8568665E-5_5.8568665E-5_2.9284332E-5,90.0_90.0,0,0,0,0,0,0,0,0,0
49,1,Leaf,1,4,1,4,Internode,184.319,27.60472430922254,8.259588271719849E-4,0.0,false,false,0,0.020775802,0.0037443847,70.0,0.0,90.0,3,4.8653E-4,0.04439196,0.025846407,1.94612E-4_1.94612E-4_9.7306E-5,90.0_90.0,0,0,0,0,0,0,0,0,0
49,1,Leaf,2,4,1,4,Internode,184.319,27.60472430922254,8.259588271719849E-4,0.0,false,false,0,0.020775802,0.0037443847,70.0,0.0,90.0,3,4.8653E-4,0.04439196,0.025846407,1.94612E-4_1.94612E-4_9.7306E-5,90.0_90.0,0,0,0,0,0,0,0,0,0
49,1,Leaf,3,4,1,4,Internode,184.319,27.60472430922254,8.259588271719849E-4,0.0,false,false,0,0.020775802,0.0037443847,70.0,0.0,90.0,3,4.8653E-4,0.04439196,0.025846407,1.94612E-4_1.94612E-4_9.7306E-5,90.0_90.0,0,0,0,0,0,0,0,0,0
49,1,Leaf,0,9,0,9,Internode,184.319,0.0,0.0,0.0,false,false,0,0.0,0.0,70.0,0.0,90.0,4,0.0,1.0E-12,0.0_0.0,0.0_0.0_0.0_0.0,90.0_90.0_90.0,0,0,0,0,0,0,0,0,0
49,1,Leaf,0,3,1,3,Internode,215.14706,37.85219021087303,0.0010490526273645192,0.0,false,false,0,0.021957127,0.0039145015,70.0,0.0,90.0,3,6.6714035E-4,0.04797884,0.028378773,2.6685614E-4_2.6685614E-4_1.3342807E-4,90.0_90.0,0,0,0,0,0,0,0,0,0
49,1,Leaf,1,3,1,3,Internode,292.52914,66.67685334125667,0.0016474591626040854,0.0,false,false,0,0.024246441,0.0042391745,70.0,0.0,90.0,3,0.0011751717,0.05520135,0.033557724,4.7006865E-4_4.7006865E-4_2.3503433E-4,90.0_90.0,0,0,0,0,0,0,0,0,0
49,1,Leaf,2,3,1,3,Internode,292.52914,66.67685334125667,0.0016474591626040854,0.0,false,false,0,0.024246441,0.0042391745,70.0,0.0,90.0,3,0.0011751717,0.05520135,0.033557724,4.7006865E-4_4.7006865E-4_2.3503433E-4,90.0_90.0,0,0,0,0,0,0,0,0,0
49,1,Leaf,3,3,1,3,Internode,292.52914,66.67685334125667,0.0016474591626040854,0.0,false,false,0,0.024246441,0.0042391745,70.0,0.0,90.0,3,0.0011751717,0.05520135,0.033557724,4.7006865E-4_4.7006865E-4_2.3503433E-4,90.0_90.0,0,0,0,0,0,0,0,0,0
49,1,Leaf,0,2,1,2,Internode,323.5269,78.20422883505066,0.0018798496194158626,0.0,false,false,0,0.024933297,0.0043353885,70.0,0.0,90.0,3,0.0013783402,0.05743683,0.035180084,5.513361E-4_5.513361E-4_2.7566805E-4,90.0_90.0,0,0,0,0,0,0,0,0,0
49,1,Leaf,0,8,0,8,Internode,369.84036,461.6576087834232,0.009431581090706544,0.0,false,false,0,0.03402942,0.0055660657,70.0,0.0,90.0,4,0.00813666,0.139895,0.048469383_0.048469383,0.0023246438_0.0023246438_0.0023246438_0.0011627288,90.0_90.0_90.0,0,0,0,0,0,0,0,0,0
49,1,Leaf,1,2,1,2,Internode,400.76788,101.95505262880084,0.0023512267047254916,0.0,false,false,0,0.026118966,0.004500262,70.0,0.0,90.0,3,0.0017969457,0.06136892,0.03805378,7.187783E-4_7.187783E-4_3.5938915E-4,90.0_90.0,0,0,0,0,0,0,0,0,0
49,1,Leaf,2,2,1,2,Internode,400.76788,101.95505262880084,0.0023512267047254916,0.0,false,false,0,0.026118966,0.004500262,70.0,0.0,90.0,3,0.0017969457,0.06136892,0.03805378,7.187783E-4_7.187783E-4_3.5938915E-4,90.0_90.0,0,0,0,0,0,0,0,0,0
49,1,Leaf,3,2,1,2,Internode,400.76788,101.95505262880084,0.0023512267047254916,0.0,false,false,0,0.026118966,0.004500262,70.0,0.0,90.0,3,0.0017969457,0.06136892,0.03805378,7.187783E-4_7.187783E-4_3.5938915E-4,90.0_90.0,0,0,0,0,0,0,0,0,0
