day,plant_id,organ_class,rank,order,parent_rank,age_dd,dry_biomass_mg,area_m2,length,is_fruit,is_root,internode_width_m,leaf_length_petiole,leaf_diameter_petiole,leaf_angle_petiole,leaf_ccw_orientation,leaf_curvature,leaf_blades_nr,leaf_area_blades_total,leaf_rachis_length,fruit_nr,fruit_radius_0,fruit_radius_1,fruit_radius_2,fruit_age_dd_0,fruit_age_dd_1,fruit_age_dd_2,fruit_ripening_dd,fruit_truss_angle
5,3,Leaf,2,0,0,71.86866,23.724919315122815,6.881887367079795E-4,0.0,false,false,0,0.01977425,0.0035986623,70.0,180.0,90.0,3,3.6695728E-4,0.04672078,0,0,0,0,0,0,0,0,0
5,4,Leaf,0,0,0,371.86868,7.382105264368561,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,180.0,90.0,1,1.3461884E-4,0.0,0,0,0,0,0,0,0,0,0
5,4,Leaf,0,0,0,371.86868,7.382105264368561,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,0.0,90.0,1,1.3461884E-4,0.0,0,0,0,0,0,0,0,0,0
5,4,Leaf,1,0,0,71.86866,68.04035526815986,0.0014144355344109685,0.0,false,false,0,0.02471588,0.00430499,90.0,90.0,90.0,2,0.0010892397,0.030461563,0,0,0,0,0,0,0,0,0
5,4,Leaf,1,0,0,71.86866,68.04035526815986,0.0014144355344109685,0.0,false,false,0,0.02471588,0.00430499,90.0,270.0,90.0,2,0.0010892397,0.030461563,0,0,0,0,0,0,0,0,0
5,4,Leaf,2,0,0,71.86866,23.689879671250438,6.8797238933218E-4,0.0,false,false,0,0.0197727,0.0035984353,70.0,180.0,90.0,3,3.6679284E-4,0.046716236,0,0,0,0,0,0,0,0,0
5,5,Leaf,0,0,0,371.86868,7.348114814963835,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,180.0,90.0,1,1.3461884E-4,0.0,0,0,0,0,0,0,0,0,0
5,5,Leaf,0,0,0,371.86868,7.348114814963835,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,0.0,90.0,1,1.3461884E-4,0.0,0,0,0,0,0,0,0,0,0
5,5,Leaf,1,0,0,71.86866,68.05604269814238,0.0014193037451705386,0.0,false,false,0,0.024733707,0.0043074843,90.0,90.0,90.0,2,0.0010937323,0.030474383,0,0,0,0,0,0,0,0,0
5,5,Leaf,1,0,0,71.86866,68.05604269814238,0.0014193037451705386,0.0,false,false,0,0.024733707,0.0043074843,90.0,270.0,90.0,2,0.0010937323,0.030474383,0,0,0,0,0,0,0,0,0
